fitness_avg,fitness_std,fitness_min,fitness_max,fitness_iteration,fitness_containerSize,fitness_evals,fitness_nbUpdated,fitness_elapsed,size_avg,size_std,size_min,size_max,size_iteration,size_containerSize,size_evals,size_nbUpdated,size_elapsed,complexity_avg,complexity_std,complexity_min,complexity_max,complexity_iteration,complexity_containerSize,complexity_evals,complexity_nbUpdated,complexity_elapsed,iteration,containerSize,evals,nbUpdated,elapsed
-115.86440609439721,20.363093042591345,-250.92769160859464,-47.67026484995961,0,816/19200,1000,917,47.4251077985391,4.0,0.0,4,4,0,816/19200,1000,917,47.4251077985391,50.52450980392157,27.875808038141525,12,162,0,816/19200,1000,917,47.4251077985391,0,816/19200,1000,917,47.4251077985391
-112.32305929568815,19.142858213022667,-199.2079712781103,-27.42758937884554,1,1060/19200,474,439,18.41189960669726,4.0,0.0,4,4,1,1060/19200,474,439,18.41189960669726,53.20566037735849,29.39161679410387,12,162,1,1060/19200,474,439,18.41189960669726,1,1060/19200,474,439,18.41189960669726
-109.01498447227358,19.08409881935427,-185.78758593673754,-27.42758937884554,2,1246/19200,473,424,23.48340194299817,4.0,0.0,4,4,2,1246/19200,473,424,23.48340194299817,54.16934189406099,29.59777534995519,10,162,2,1246/19200,473,424,23.48340194299817,2,1246/19200,473,424,23.48340194299817
-105.81772487219644,19.425082566876927,-185.10932637593643,-16.22430713538998,3,1391/19200,475,413,27.62792773079127,4.0,0.0,4,4,3,1391/19200,475,413,27.62792773079127,55.09920920201294,29.752348397668044,10,153,3,1391/19200,475,413,27.62792773079127,3,1391/19200,475,413,27.62792773079127
-103.54771431967426,20.06678530329424,-185.10932637593643,-16.22430713538998,4,1505/19200,473,402,34.213539510034025,4.0,0.0,4,4,4,1505/19200,473,402,34.213539510034025,55.734883720930235,29.580289057647622,9,153,4,1505/19200,473,402,34.213539510034025,4,1505/19200,473,402,34.213539510034025
-101.24770531905978,20.754507301015927,-185.10932637593643,-16.22430713538998,5,1610/19200,473,403,35.948236365802586,4.0,0.0,4,4,5,1610/19200,473,403,35.948236365802586,56.05714285714286,29.360669416873332,9,152,5,1610/19200,473,403,35.948236365802586,5,1610/19200,473,403,35.948236365802586
-98.61746541472588,22.607767166298302,-185.10932637593643,-6.382142336252927,6,1679/19200,468,390,42.48416954744607,4.0,0.0,4,4,6,1679/19200,468,390,42.48416954744607,56.662298987492555,29.465109676067677,9,161,6,1679/19200,468,390,42.48416954744607,6,1679/19200,468,390,42.48416954744607
-96.06076155716327,23.784032800243192,-185.10932637593643,1.9562329556034321,7,1752/19200,477,378,47.26506218314171,4.0,0.0,4,4,7,1752/19200,477,378,47.26506218314171,57.00856164383562,29.40885299464792,9,161,7,1752/19200,477,378,47.26506218314171,7,1752/19200,477,378,47.26506218314171
-93.38591971690236,25.309476126317527,-185.10932637593643,1.9562329556034321,8,1811/19200,477,367,49.815359643660486,4.0,0.0,4,4,8,1811/19200,477,367,49.815359643660486,57.36554389839868,29.31200813761792,9,161,8,1811/19200,477,367,49.815359643660486,8,1811/19200,477,367,49.815359643660486
-90.84752073097388,26.46889461995406,-185.10932637593643,1.9562329556034321,9,1889/19200,477,368,50.55572166480124,4.0,0.0,4,4,9,1889/19200,477,368,50.55572166480124,57.946532556908416,29.32429075825119,9,169,9,1889/19200,477,368,50.55572166480124,9,1889/19200,477,368,50.55572166480124
-88.22956688720133,27.59403387845422,-185.10932637593643,20.437784903423843,10,1950/19200,476,375,53.19256649259478,4.0,0.0,4,4,10,1950/19200,476,375,53.19256649259478,58.33692307692308,29.39954335541461,9,180,10,1950/19200,476,375,53.19256649259478,10,1950/19200,476,375,53.19256649259478
-85.84063504870744,28.75795615627569,-185.10932637593643,20.437784903423843,11,2009/19200,472,356,52.07053352985531,4.0,0.0,4,4,11,2009/19200,472,356,52.07053352985531,58.79094076655052,29.52398351087466,9,180,11,2009/19200,472,356,52.07053352985531,11,2009/19200,472,356,52.07053352985531
-83.03115701080802,30.112113277353316,-185.10932637593643,20.437784903423843,12,2060/19200,474,358,54.21012322045863,4.0,0.0,4,4,12,2060/19200,474,358,54.21012322045863,58.87378640776699,29.38504989799705,9,180,12,2060/19200,474,358,54.21012322045863,12,2060/19200,474,358,54.21012322045863
-79.77379291642026,31.489015179292043,-185.10932637593643,20.437784903423843,13,2104/19200,467,376,54.700657471083105,4.0,0.0,4,4,13,2104/19200,467,376,54.700657471083105,59.23906844106464,29.62085148131643,9,172,13,2104/19200,467,376,54.700657471083105,13,2104/19200,467,376,54.700657471083105
-76.94916507155288,32.329886363843706,-182.97094230007485,20.437784903423843,14,2132/19200,477,330,51.86999852396548,4.0,0.0,4,4,14,2132/19200,477,330,51.86999852396548,59.66651031894934,29.7831900473759,9,172,14,2132/19200,477,330,51.86999852396548,14,2132/19200,477,330,51.86999852396548
-73.46216319137652,33.43883334073587,-182.97094230007485,20.437784903423843,15,2192/19200,471,367,53.210788239724934,4.0,0.0,4,4,15,2192/19200,471,367,53.210788239724934,59.83257299270073,29.733070033191776,9,172,15,2192/19200,471,367,53.210788239724934,15,2192/19200,471,367,53.210788239724934
-70.40627135748062,34.40665494545063,-182.97094230007485,20.437784903423843,16,2232/19200,473,377,55.91566746402532,4.0,0.0,4,4,16,2232/19200,473,377,55.91566746402532,59.78629032258065,29.629061738434146,9,172,16,2232/19200,473,377,55.91566746402532,16,2232/19200,473,377,55.91566746402532
-67.6003203568995,35.27801615199885,-182.97094230007485,27.517208090533767,17,2264/19200,467,343,52.1596740456298,4.0,0.0,4,4,17,2264/19200,467,343,52.1596740456298,59.909893992932865,29.663078756789872,9,172,17,2264/19200,467,343,52.1596740456298,17,2264/19200,467,343,52.1596740456298
