fitness_avg,fitness_std,fitness_min,fitness_max,fitness_iteration,fitness_containerSize,fitness_evals,fitness_nbUpdated,fitness_elapsed,size_avg,size_std,size_min,size_max,size_iteration,size_containerSize,size_evals,size_nbUpdated,size_elapsed,complexity_avg,complexity_std,complexity_min,complexity_max,complexity_iteration,complexity_containerSize,complexity_evals,complexity_nbUpdated,complexity_elapsed,iteration,containerSize,evals,nbUpdated,elapsed
-113.1384434018587,21.325859938229982,-245.62496760645504,-21.154573343310567,0,990/512000,1500,1263,95.27384721301496,4.0,0.0,4,4,0,990/512000,1500,1263,95.27384721301496,52.64646464646464,29.072988307317793,12,209,0,990/512000,1500,1263,95.27384721301496,0,990/512000,1500,1263,95.27384721301496
-111.22371042247555,20.529137493458958,-245.62496760645504,-21.154573343310567,1,1386/512000,474,1489,33.55898305121809,4.0,0.0,4,4,1,1386/512000,474,1489,33.55898305121809,51.87229437229437,28.62370177152606,11,209,1,1386/512000,474,1489,33.55898305121809,1,1386/512000,474,1489,33.55898305121809
-107.50596977692936,21.073093541754872,-245.62496760645504,-16.06068130713984,2,1213/512000,479,1278,39.64753827592358,4.0,0.0,4,4,2,1213/512000,479,1278,39.64753827592358,50.37098103874691,27.926104624217466,12,209,2,1213/512000,479,1278,39.64753827592358,2,1213/512000,479,1278,39.64753827592358
-105.85777988560342,21.08895306572445,-245.62496760645504,-16.06068130713984,3,1613/512000,470,1711,36.39720563823357,4.0,0.0,4,4,3,1613/512000,470,1711,36.39720563823357,49.43831370117793,27.536293046198903,10,209,3,1613/512000,470,1711,36.39720563823357,3,1613/512000,470,1711,36.39720563823357
-103.94405926586104,21.480079430597467,-245.62496760645504,12.598590460793481,4,1994/512000,479,2109,43.22578683728352,4.0,0.0,4,4,4,1994/512000,479,2109,43.22578683728352,48.87913741223671,27.085990635831426,10,209,4,1994/512000,479,2109,43.22578683728352,4,1994/512000,479,2109,43.22578683728352
-101.66775618878806,22.385595955004252,-245.62496760645504,12.598590460793481,5,2274/512000,483,2456,57.12359186494723,4.0,0.0,4,4,5,2274/512000,483,2456,57.12359186494723,48.796394019349165,26.73820711316731,10,209,5,2274/512000,483,2456,57.12359186494723,5,2274/512000,483,2456,57.12359186494723
-99.64307867014229,23.16564264622745,-245.62496760645504,12.598590460793481,6,2519/512000,476,2731,66.037476524245,4.0,0.0,4,4,6,2519/512000,476,2731,66.037476524245,49.0944819372767,26.848977847813522,10,209,6,2519/512000,476,2731,66.037476524245,6,2519/512000,476,2731,66.037476524245
-97.51969578475406,24.25913271725442,-229.2041109176024,12.598590460793481,7,2768/512000,468,2981,66.7107305964455,4.0,0.0,4,4,7,2768/512000,468,2981,66.7107305964455,48.78395953757225,26.679813165853254,10,209,7,2768/512000,468,2981,66.7107305964455,7,2768/512000,468,2981,66.7107305964455
-95.25676825538415,25.69399098511413,-229.2041109176024,12.598590460793481,8,3011/512000,476,3219,70.67583644902334,4.0,0.0,4,4,8,3011/512000,476,3219,70.67583644902334,48.32281634008635,26.532661752270364,10,209,8,3011/512000,476,3219,70.67583644902334,8,3011/512000,476,3219,70.67583644902334
-93.3332218272854,26.9016983457916,-229.2041109176024,12.598590460793481,9,3255/512000,471,3462,72.89806722989306,4.0,0.0,4,4,9,3255/512000,471,3462,72.89806722989306,48.2073732718894,26.410367925504456,10,209,9,3255/512000,471,3462,72.89806722989306,9,3255/512000,471,3462,72.89806722989306
-91.49412423939563,28.157221911855277,-229.2041109176024,12.598590460793481,10,3511/512000,473,3728,74.27798573393375,4.0,0.0,4,4,10,3511/512000,473,3728,74.27798573393375,47.71318712617488,26.17762529179106,10,209,10,3511/512000,473,3728,74.27798573393375,10,3511/512000,473,3728,74.27798573393375
-89.56154002334787,29.29424614098878,-229.2041109176024,12.598590460793481,11,3734/512000,475,3967,80.651275429409,4.0,0.0,4,4,11,3734/512000,475,3967,80.651275429409,47.40974825923942,26.030548805592705,10,209,11,3734/512000,475,3967,80.651275429409,11,3734/512000,475,3967,80.651275429409
-87.97371188451181,30.152809958482386,-229.2041109176024,12.598590460793481,12,3953/512000,473,4174,80.75628175120801,4.0,0.0,4,4,12,3953/512000,473,4174,80.75628175120801,47.11257272957248,25.981998210262088,10,209,12,3953/512000,473,4174,80.75628175120801,12,3953/512000,473,4174,80.75628175120801
-86.71999309466835,31.101794880327052,-229.2041109176024,22.837255495685238,13,4144/512000,477,4384,79.97008373681456,4.0,0.0,4,4,13,4144/512000,477,4384,79.97008373681456,46.94473938223938,25.891080632193294,10,209,13,4144/512000,477,4384,79.97008373681456,13,4144/512000,477,4384,79.97008373681456
-85.08081578390446,32.10330621618332,-229.2041109176024,22.837255495685238,14,4359/512000,478,4593,85.25021396903321,4.0,0.0,4,4,14,4359/512000,478,4593,85.25021396903321,46.65542555632026,25.666175585969505,10,209,14,4359/512000,478,4593,85.25021396903321,14,4359/512000,478,4593,85.25021396903321
-83.67427743011366,33.03207861480711,-229.2041109176024,22.837255495685238,15,4543/512000,484,4777,86.2572849150747,4.0,0.0,4,4,15,4543/512000,484,4777,86.2572849150747,46.41008144397975,25.414481851865126,10,209,15,4543/512000,484,4777,86.2572849150747,15,4543/512000,484,4777,86.2572849150747
-82.38744164392583,33.87167399094108,-229.2041109176024,22.837255495685238,16,4733/512000,480,4965,90.42339399410412,4.0,0.0,4,4,16,4733/512000,480,4965,90.42339399410412,46.264736953306574,25.185973330582478,8,209,16,4733/512000,480,4965,90.42339399410412,16,4733/512000,480,4965,90.42339399410412
-80.95239485120801,34.88975847842304,-229.2041109176024,22.837255495685238,17,4908/512000,472,5175,92.12519967090338,4.0,0.0,4,4,17,4908/512000,472,5175,92.12519967090338,46.18480032599837,25.042528561979744,8,209,17,4908/512000,472,5175,92.12519967090338,17,4908/512000,472,5175,92.12519967090338
-79.70311127649049,35.644206645841784,-229.2041109176024,22.837255495685238,18,5051/512000,479,5334,93.57981528202072,4.0,0.0,4,4,18,5051/512000,479,5334,93.57981528202072,46.18174618887349,24.90152117204029,8,209,18,5051/512000,479,5334,93.57981528202072,18,5051/512000,479,5334,93.57981528202072
-78.18655104576538,36.49897474619081,-229.2041109176024,22.837255495685238,19,5219/512000,480,5485,97.51126021612436,4.0,0.0,4,4,19,5219/512000,480,5485,97.51126021612436,46.30561410231845,24.826447004695414,8,209,19,5219/512000,480,5485,97.51126021612436,19,5219/512000,480,5485,97.51126021612436
-76.76337762184045,37.28718590968665,-229.2041109176024,22.837255495685238,20,5401/512000,484,5642,99.01212841784582,4.0,0.0,4,4,20,5401/512000,484,5642,99.01212841784582,46.27032031105351,24.718355510020626,8,209,20,5401/512000,484,5642,99.01212841784582,20,5401/512000,484,5642,99.01212841784582
-75.7548223865204,37.89300000098434,-229.2041109176024,22.837255495685238,21,5578/512000,473,5821,100.83636692492291,4.0,0.0,4,4,21,5578/512000,473,5821,100.83636692492291,46.2443528146289,24.638948763773914,8,209,21,5578/512000,473,5821,100.83636692492291,21,5578/512000,473,5821,100.83636692492291
-74.70652716412917,38.397225120448766,-229.2041109176024,22.837255495685238,22,5753/512000,482,6011,100.98094318900257,4.0,0.0,4,4,22,5753/512000,482,6011,100.98094318900257,46.33860594472449,24.562093475116367,8,209,22,5753/512000,482,6011,100.98094318900257,22,5753/512000,482,6011,100.98094318900257
-73.45591788398217,38.98172987702238,-229.2041109176024,22.837255495685238,23,5926/512000,487,6174,108.03500060597435,4.0,0.0,4,4,23,5926/512000,487,6174,108.03500060597435,46.47688153898076,24.470650706422873,8,209,23,5926/512000,487,6174,108.03500060597435,23,5926/512000,487,6174,108.03500060597435
-72.40327227479237,39.59863526770543,-229.2041109176024,22.837255495685238,24,6099/512000,481,6349,108.24098315415904,4.0,0.0,4,4,24,6099/512000,481,6349,108.24098315415904,46.41957697983276,24.493288554457887,8,209,24,6099/512000,481,6349,108.24098315415904,24,6099/512000,481,6349,108.24098315415904
-71.72218389695638,39.94875199817983,-229.2041109176024,35.28916561440751,25,6235/512000,473,6493,110.06586877210066,4.0,0.0,4,4,25,6235/512000,473,6493,110.06586877210066,46.373857257417804,24.532326638907218,8,209,25,6235/512000,473,6493,110.06586877210066,25,6235/512000,473,6493,110.06586877210066
-72.01387514183935,39.86518541511497,-182.33015078956623,35.28916561440751,26,3868/512000,467,4443,106.3451145188883,4.0,0.0,4,4,26,3868/512000,467,4443,106.3451145188883,47.899689762150985,25.513095972222324,10,209,26,3868/512000,467,4443,106.3451145188883,26,3868/512000,467,4443,106.3451145188883
-72.10782815321993,40.149905643264624,-182.33015078956623,43.58985223637282,27,3907/512000,471,4197,85.9635999808088,4.0,0.0,4,4,27,3907/512000,471,4197,85.9635999808088,48.27770668031738,25.53421894039038,10,209,27,3907/512000,471,4197,85.9635999808088,27,3907/512000,471,4197,85.9635999808088
-71.55891038083223,40.37930411146643,-182.33015078956623,43.58985223637282,28,4017/512000,475,4268,84.44252716423944,4.0,0.0,4,4,28,4017/512000,475,4268,84.44252716423944,48.629325367189445,25.743217264333566,10,209,28,4017/512000,475,4268,84.44252716423944,28,4017/512000,475,4268,84.44252716423944
-70.45826987620498,40.82416788600185,-182.33015078956623,48.62151403852965,29,4154/512000,478,4412,84.43424178985879,4.0,0.0,4,4,29,4154/512000,478,4412,84.43424178985879,48.921521425132404,25.787679874575293,10,209,29,4154/512000,478,4412,84.43424178985879,29,4154/512000,478,4412,84.43424178985879
-69.5613417212409,41.05614870859334,-182.33015078956623,48.62151403852965,30,4310/512000,481,4541,87.16414612298831,4.0,0.0,4,4,30,4310/512000,481,4541,87.16414612298831,49.10603248259861,25.850195523839943,10,209,30,4310/512000,481,4541,87.16414612298831,30,4310/512000,481,4541,87.16414612298831
-68.9437407933357,41.40090352709309,-182.33015078956623,48.62151403852965,31,4448/512000,471,4703,83.33012969791889,4.0,0.0,4,4,31,4448/512000,471,4703,83.33012969791889,49.361061151079134,25.94331871454225,10,209,31,4448/512000,471,4703,83.33012969791889,31,4448/512000,471,4703,83.33012969791889
