fitness_avg,fitness_std,fitness_min,fitness_max,fitness_iteration,fitness_containerSize,fitness_evals,fitness_nbUpdated,fitness_elapsed,size_avg,size_std,size_min,size_max,size_iteration,size_containerSize,size_evals,size_nbUpdated,size_elapsed,complexity_avg,complexity_std,complexity_min,complexity_max,complexity_iteration,complexity_containerSize,complexity_evals,complexity_nbUpdated,complexity_elapsed,iteration,containerSize,evals,nbUpdated,elapsed
-181600.98054880786,238413.75496658834,-500000.0,88.90141475135785,0,514/5000,1000,684,5.5720669738948345,3.0,0.0,3,3,0,514/5000,1000,684,5.5720669738948345,47.252918287937746,26.267596311752897,9,148,0,514/5000,1000,684,5.5720669738948345,0,514/5000,1000,684,5.5720669738948345
-165451.89360752376,233317.20282421977,-500000.0,141.90129964305376,1,661/5000,477,341,1.9687620466575027,3.0,0.0,3,3,1,661/5000,477,341,1.9687620466575027,51.37065052950076,26.949220771331316,9,148,1,661/5000,477,341,1.9687620466575027,1,661/5000,477,341,1.9687620466575027
-121812.6216599558,212512.98741492606,-500000.0,141.90129964305376,2,779/5000,483,376,2.091785304248333,3.0,0.0,3,3,2,779/5000,483,376,2.091785304248333,53.14377406931964,26.638354342658392,9,149,2,779/5000,483,376,2.091785304248333,2,779/5000,483,376,2.091785304248333
-95657.79879263614,195149.21110597107,-500000.0,141.90129964305376,3,851/5000,474,372,2.103426347486675,3.0,0.0,3,3,3,851/5000,474,372,2.103426347486675,53.32079905992949,26.512959867951807,7,149,3,851/5000,474,372,2.103426347486675,3,851/5000,474,372,2.103426347486675
-79461.2887881282,181309.04874315156,-500000.0,141.90129964305376,4,911/5000,479,347,2.5460692392662168,3.0,0.0,3,3,4,911/5000,479,347,2.5460692392662168,54.334796926454445,26.799841221604613,7,149,4,911/5000,479,347,2.5460692392662168,4,911/5000,479,347,2.5460692392662168
-62196.20880651082,163474.3722204643,-500000.0,141.90129964305376,5,963/5000,480,341,2.95296329818666,3.0,0.0,3,3,5,963/5000,480,341,2.95296329818666,54.49948078920041,26.586889033392566,7,149,5,963/5000,480,341,2.95296329818666,5,963/5000,480,341,2.95296329818666
-54711.344191837255,154605.98913224883,-500000.0,141.90129964305376,6,993/5000,477,307,3.4486237056553364,3.0,0.0,3,3,6,993/5000,477,307,3.4486237056553364,54.45921450151057,26.292080799677088,7,149,6,993/5000,477,307,3.4486237056553364,6,993/5000,477,307,3.4486237056553364
-50447.14759215787,149010.6536670781,-500000.0,141.90129964305376,7,1029/5000,469,320,3.704398490488529,3.0,0.0,3,3,7,1029/5000,469,320,3.704398490488529,54.9533527696793,26.66182708027433,7,149,7,1029/5000,469,320,3.704398490488529,7,1029/5000,469,320,3.704398490488529
-45767.57521552797,142664.99822589575,-500000.0,141.90129964305376,8,1045/5000,478,283,4.543487989343703,3.0,0.0,3,3,8,1045/5000,478,283,4.543487989343703,55.15406698564593,26.772052042026356,7,149,8,1045/5000,478,283,4.543487989343703,8,1045/5000,478,283,4.543487989343703
-45445.00927898971,142243.610126853,-500000.0,224.32955652478037,9,1052/5000,475,264,4.097043737769127,3.0,0.0,3,3,9,1052/5000,475,264,4.097043737769127,55.35076045627376,26.769143489247877,7,149,9,1052/5000,475,264,4.097043737769127,9,1052/5000,475,264,4.097043737769127
-39364.76898929027,133212.91092940498,-500000.0,254.25794785060157,10,1073/5000,478,271,4.497182007879019,3.0,0.0,3,3,10,1073/5000,478,271,4.497182007879019,55.43150046598323,26.639095209011,7,151,10,1073/5000,478,271,4.497182007879019,10,1073/5000,478,271,4.497182007879019
-37226.70442532616,129713.34352063954,-500000.0,254.25794785060157,11,1096/5000,474,286,4.6326128812506795,3.0,0.0,3,3,11,1096/5000,474,286,4.6326128812506795,55.667883211678834,26.642351264869006,7,156,11,1096/5000,474,286,4.6326128812506795,11,1096/5000,474,286,4.6326128812506795
-34904.27530369407,125870.89776102093,-500000.0,266.3269621244292,12,1114/5000,473,240,5.150671612471342,3.0,0.0,3,3,12,1114/5000,473,240,5.150671612471342,55.791741472172355,26.95833749551393,7,161,12,1114/5000,473,240,5.150671612471342,12,1114/5000,473,240,5.150671612471342
-33268.06904824796,123085.53538801128,-500000.0,266.3269621244292,13,1123/5000,475,242,4.803731703199446,3.0,0.0,3,3,13,1123/5000,475,242,4.803731703199446,55.907390917186106,26.790775526280374,7,161,13,1123/5000,475,242,4.803731703199446,13,1123/5000,475,242,4.803731703199446
-32320.652010599708,121610.48454744821,-500000.0,722.5212455652551,14,1136/5000,477,235,5.71060894895345,3.0,0.0,3,3,14,1136/5000,477,235,5.71060894895345,55.95950704225352,26.685573615600102,7,161,14,1136/5000,477,235,5.71060894895345,14,1136/5000,477,235,5.71060894895345
-30802.761752946913,118927.68636906827,-500000.0,722.5212455652551,15,1142/5000,469,243,5.4055505925789475,3.0,0.0,3,3,15,1142/5000,469,243,5.4055505925789475,56.17250437828371,26.842294446193407,7,161,15,1142/5000,469,243,5.4055505925789475,15,1142/5000,469,243,5.4055505925789475
-30478.84701415064,118349.91856483452,-500000.0,722.5212455652551,16,1154/5000,471,251,6.342899896204472,3.0,0.0,3,3,16,1154/5000,471,251,6.342899896204472,56.08665511265165,26.9197944490508,7,161,16,1154/5000,471,251,6.342899896204472,16,1154/5000,471,251,6.342899896204472
-30472.488823262298,118478.16948453807,-500000.0,722.5212455652551,17,1168/5000,473,254,6.715648854151368,3.0,0.0,3,3,17,1168/5000,473,254,6.715648854151368,56.18921232876713,27.2713907509163,7,175,17,1168/5000,473,254,6.715648854151368,17,1168/5000,473,254,6.715648854151368
-27895.2169768462,113606.37419732196,-500000.0,722.5212455652551,18,1186/5000,486,237,7.186569116078317,3.0,0.0,3,3,18,1186/5000,486,237,7.186569116078317,56.27993254637437,27.28061444409545,7,175,18,1186/5000,486,237,7.186569116078317,18,1186/5000,486,237,7.186569116078317
-28446.55366403288,114698.02486212169,-500000.0,747.251524258574,19,1198/5000,478,259,8.411819304339588,3.0,0.0,3,3,19,1198/5000,478,259,8.411819304339588,56.34390651085142,27.184190732990754,7,175,19,1198/5000,478,259,8.411819304339588,19,1198/5000,478,259,8.411819304339588
