fitness_avg,fitness_std,fitness_min,fitness_max,fitness_iteration,fitness_containerSize,fitness_evals,fitness_nbUpdated,fitness_elapsed,size_avg,size_std,size_min,size_max,size_iteration,size_containerSize,size_evals,size_nbUpdated,size_elapsed,complexity_avg,complexity_std,complexity_min,complexity_max,complexity_iteration,complexity_containerSize,complexity_evals,complexity_nbUpdated,complexity_elapsed,iteration,containerSize,evals,nbUpdated,elapsed
-83534.44753223332,97732.72699513668,-200000.0,337.80473633978113,0,1035/9600000,1500,1228,5.628933293744922,3.0,0.0,3,3,0,1035/9600000,1500,1228,5.628933293744922,43.77101449275362,26.39760511818516,9,174,0,1035/9600000,1500,1228,5.628933293744922,0,1035/9600000,1500,1228,5.628933293744922
-68909.40190121628,93992.8143989828,-200000.0,337.80473633978113,1,1879/9600000,1500,1318,6.0905604641884565,3.0,0.0,3,3,1,1879/9600000,1500,1318,6.0905604641884565,53.170835550824904,28.281506676588442,9,177,1,1879/9600000,1500,1318,6.0905604641884565,1,1879/9600000,1500,1318,6.0905604641884565
-58664.78429488701,90204.48144578407,-200000.0,337.80473633978113,2,2585/9600000,1500,1334,6.334718886762857,3.0,0.0,3,3,2,2585/9600000,1500,1334,6.334718886762857,56.932688588007736,27.883609210384034,8,177,2,2585/9600000,1500,1334,6.334718886762857,2,2585/9600000,1500,1334,6.334718886762857
-50959.247033081476,86294.53823079885,-200000.0,337.80473633978113,3,3142/9600000,1500,1322,7.208171320147812,3.0,0.0,3,3,3,3142/9600000,1500,1322,7.208171320147812,58.703055378739656,27.14039195463877,8,177,3,3142/9600000,1500,1322,7.208171320147812,3,3142/9600000,1500,1322,7.208171320147812
-43864.24153622442,81847.26521976215,-200000.0,337.80473633978113,4,3639/9600000,1500,1315,6.896185651421547,3.0,0.0,3,3,4,3639/9600000,1500,1315,6.896185651421547,59.41879637262984,26.46579895860327,7,177,4,3639/9600000,1500,1315,6.896185651421547,4,3639/9600000,1500,1315,6.896185651421547
-39048.92499030634,78360.01902288542,-200000.0,337.80473633978113,5,3980/9600000,1500,1291,8.11159294564277,3.0,0.0,3,3,5,3980/9600000,1500,1291,8.11159294564277,59.93994974874372,25.982254516231237,7,177,5,3980/9600000,1500,1291,8.11159294564277,5,3980/9600000,1500,1291,8.11159294564277
-35982.055027322196,75947.23691174084,-200000.0,337.80473633978113,6,4329/9600000,1500,1314,8.013159329071641,3.0,0.0,3,3,6,4329/9600000,1500,1314,8.013159329071641,59.9025179025179,25.492491896974617,7,153,6,4329/9600000,1500,1314,8.013159329071641,6,4329/9600000,1500,1314,8.013159329071641
-33199.76783866044,73597.13843175773,-200000.0,337.80473633978113,7,4641/9600000,1500,1306,7.837329752743244,3.0,0.0,3,3,7,4641/9600000,1500,1306,7.837329752743244,60.134669252316314,25.422933350115045,5,159,7,4641/9600000,1500,1306,7.837329752743244,7,4641/9600000,1500,1306,7.837329752743244
-31374.924008617672,71956.4393920148,-200000.0,337.80473633978113,8,4941/9600000,1500,1305,8.680542445741594,3.0,0.0,3,3,8,4941/9600000,1500,1305,8.680542445741594,60.625581866019026,25.40636473494703,5,159,8,4941/9600000,1500,1305,8.680542445741594,8,4941/9600000,1500,1305,8.680542445741594
-29868.428017764425,70568.68940824067,-200000.0,337.80473633978113,9,5179/9600000,1500,1319,8.66506150458008,3.0,0.0,3,3,9,5179/9600000,1500,1319,8.66506150458008,60.929136899015255,25.36523320720522,5,159,9,5179/9600000,1500,1319,8.66506150458008,9,5179/9600000,1500,1319,8.66506150458008
