fitness_avg,fitness_std,fitness_min,fitness_max,fitness_iteration,fitness_containerSize,fitness_evals,fitness_nbUpdated,fitness_elapsed,size_avg,size_std,size_min,size_max,size_iteration,size_containerSize,size_evals,size_nbUpdated,size_elapsed,complexity_avg,complexity_std,complexity_min,complexity_max,complexity_iteration,complexity_containerSize,complexity_evals,complexity_nbUpdated,complexity_elapsed,iteration,containerSize,evals,nbUpdated,elapsed
278.3851103660528,123.08127482815313,129.61185555299986,581.8893464678878,0,186/11000,500,281,2.4604145968332887,1.0,0.0,1,1,0,186/11000,500,281,2.4604145968332887,20.876344086021504,16.865080663135824,3,93,0,186/11000,500,281,2.4604145968332887,0,186/11000,500,281,2.4604145968332887
295.50820267110265,316.509255870229,129.59976211029144,4859.333663247147,1,375/11000,478,343,0.5114751160144806,1.0,0.0,1,1,1,375/11000,478,343,0.5114751160144806,26.256,17.043585225337225,3,93,1,375/11000,478,343,0.5114751160144806,1,375/11000,478,343,0.5114751160144806
334.97444881920836,292.6973697806597,129.59976211029144,4859.333663247147,2,513/11000,481,340,0.6790767330676317,1.0,0.0,1,1,2,513/11000,481,340,0.6790767330676317,29.45224171539961,17.986082984756745,3,93,2,513/11000,481,340,0.6790767330676317,2,513/11000,481,340,0.6790767330676317
384.07835425206997,445.3335446585558,129.61716342614014,5373.264407299342,3,615/11000,477,328,0.950834664516151,1.0,0.0,1,1,3,615/11000,477,328,0.950834664516151,31.78211382113821,18.950633481572545,3,93,3,615/11000,477,328,0.950834664516151,3,615/11000,477,328,0.950834664516151
435.48310505386047,481.7491789652204,129.61716342614014,5373.264407299342,4,696/11000,474,293,0.9619284141808748,1.0,0.0,1,1,4,696/11000,474,293,0.9619284141808748,32.6867816091954,18.816404190319012,3,93,4,696/11000,474,293,0.9619284141808748,4,696/11000,474,293,0.9619284141808748
525.0391461387151,656.956161291225,129.61716342614014,6933.644830831637,5,770/11000,476,294,1.3198687117546797,1.0,0.0,1,1,5,770/11000,476,294,1.3198687117546797,33.83766233766234,18.984638622482226,3,93,5,770/11000,476,294,1.3198687117546797,5,770/11000,476,294,1.3198687117546797
692.483542692955,973.8454372568925,129.61716342614014,7945.065798277193,6,819/11000,471,306,1.6930639166384935,1.0,0.0,1,1,6,819/11000,471,306,1.6930639166384935,34.366300366300365,18.710966203702053,1,93,6,819/11000,471,306,1.6930639166384935,6,819/11000,471,306,1.6930639166384935
895.1425806931871,1257.8156696272551,129.61716342614014,8088.249023034065,7,869/11000,473,313,2.381577679887414,1.0,0.0,1,1,7,869/11000,473,313,2.381577679887414,34.72266973532796,18.47818243264351,3,93,7,869/11000,473,313,2.381577679887414,7,869/11000,473,313,2.381577679887414
1185.8942551142711,1628.740951564346,129.61716342614014,9358.478446169122,8,921/11000,472,310,3.119189526885748,1.0,0.0,1,1,8,921/11000,472,310,3.119189526885748,35.1357220412595,18.264376329885966,3,93,8,921/11000,472,310,3.119189526885748,8,921/11000,472,310,3.119189526885748
1512.2554111861791,1992.7276202224173,129.61716342614014,9358.478446169122,9,958/11000,474,274,3.860204303637147,1.0,0.0,1,1,9,958/11000,474,274,3.860204303637147,35.59603340292276,18.250880521182168,3,93,9,958/11000,474,274,3.860204303637147,9,958/11000,474,274,3.860204303637147
