fitness_avg,fitness_std,fitness_min,fitness_max,fitness_iteration,fitness_containerSize,fitness_evals,fitness_nbUpdated,fitness_elapsed,size_avg,size_std,size_min,size_max,size_iteration,size_containerSize,size_evals,size_nbUpdated,size_elapsed,complexity_avg,complexity_std,complexity_min,complexity_max,complexity_iteration,complexity_containerSize,complexity_evals,complexity_nbUpdated,complexity_elapsed,iteration,containerSize,evals,nbUpdated,elapsed
273.82644951734653,132.03327480079128,132.6110078666889,1387.5435870580923,0,390/512000,1000,588,1.3875842029228806,1.0,0.0,1,1,0,390/512000,1000,588,1.3875842029228806,21.866666666666667,16.459201048207024,3,104,0,390/512000,1000,588,1.3875842029228806,0,390/512000,1000,588,1.3875842029228806
256.16779059697126,132.93335138579525,129.57313832011428,1687.0566814817037,1,972/512000,753,1179,1.556331398896873,1.0,0.0,1,1,1,972/512000,753,1179,1.556331398896873,21.792181069958847,15.858233201195837,1,104,1,972/512000,753,1179,1.556331398896873,1,972/512000,753,1179,1.556331398896873
289.76088964967244,206.87798197529423,132.5297265241033,4267.110467351899,2,894/512000,756,1207,2.513420969247818,1.0,0.0,1,1,2,894/512000,756,1207,2.513420969247818,24.70805369127517,16.770753346234905,1,104,2,894/512000,756,1207,2.513420969247818,2,894/512000,756,1207,2.513420969247818
290.78685179639956,312.0795144039807,129.54852992832616,6815.511832348908,3,1378/512000,751,1639,2.520809200592339,1.0,0.0,1,1,3,1378/512000,751,1639,2.520809200592339,25.101596516690858,16.529995967389215,1,111,3,1378/512000,751,1639,2.520809200592339,3,1378/512000,751,1639,2.520809200592339
318.05053141125194,394.7659962617603,129.6268026679418,6815.511832348908,4,1331/512000,752,1610,3.294772921130061,1.0,0.0,1,1,4,1331/512000,752,1610,3.294772921130061,26.18557475582269,17.44178172775653,1,111,4,1331/512000,752,1610,3.294772921130061,4,1331/512000,752,1610,3.294772921130061
335.17710914274704,439.7512264684055,129.53568649945444,7309.322850579626,5,1666/512000,745,1976,3.4288359927013516,1.0,0.0,1,1,5,1666/512000,745,1976,3.4288359927013516,27.448979591836736,18.033584835855475,1,111,5,1666/512000,745,1976,3.4288359927013516,5,1666/512000,745,1976,3.4288359927013516
354.44668031689906,477.8481648314349,129.53568649945444,7309.322850579626,6,1886/512000,751,2289,4.475178519263864,1.0,0.0,1,1,6,1886/512000,751,2289,4.475178519263864,29.571049840933192,18.78849148157992,1,111,6,1886/512000,751,2289,4.475178519263864,6,1886/512000,751,2289,4.475178519263864
360.229313443953,490.2458147400049,129.55479231914475,9284.46125346139,7,2237/512000,761,2547,5.084268984384835,1.0,0.0,1,1,7,2237/512000,761,2547,5.084268984384835,30.71479660259276,19.30476975014591,1,111,7,2237/512000,761,2547,5.084268984384835,7,2237/512000,761,2547,5.084268984384835
432.3600600155986,595.2419559773132,129.55479231914475,9284.46125346139,8,1869/512000,763,2243,6.328389815054834,1.0,0.0,1,1,8,1869/512000,763,2243,6.328389815054834,32.91118245050829,19.890272247068037,1,104,8,1869/512000,763,2243,6.328389815054834,8,1869/512000,763,2243,6.328389815054834
465.3538171466615,653.2226856256001,129.55479231914475,9284.46125346139,9,2144/512000,758,2455,5.516115647740662,1.0,0.0,1,1,9,2144/512000,758,2455,5.516115647740662,33.32602611940298,19.774841591136493,1,104,9,2144/512000,758,2455,5.516115647740662,9,2144/512000,758,2455,5.516115647740662
508.3573524374962,751.2104926019495,129.55479231914475,9284.46125346139,10,2416/512000,754,2729,6.393789715133607,1.0,0.0,1,1,10,2416/512000,754,2729,6.393789715133607,33.553394039735096,19.70512245745445,1,104,10,2416/512000,754,2729,6.393789715133607,10,2416/512000,754,2729,6.393789715133607
540.0873550224521,795.34561899752,129.55479231914475,9284.46125346139,11,2628/512000,743,2997,7.680317318066955,1.0,0.0,1,1,11,2628/512000,743,2997,7.680317318066955,33.66971080669711,19.435990531034314,1,104,11,2628/512000,743,2997,7.680317318066955,11,2628/512000,743,2997,7.680317318066955
616.0329482522255,927.4162006337768,129.55479231914475,9284.46125346139,12,2434/512000,762,3025,9.088571517728269,1.0,0.0,1,1,12,2434/512000,762,3025,9.088571517728269,34.706244864420704,19.652057261072322,1,104,12,2434/512000,762,3025,9.088571517728269,12,2434/512000,762,3025,9.088571517728269
682.7878570927821,1041.0006023523715,129.55479231914475,9284.46125346139,13,2610/512000,764,2950,8.53634103294462,1.0,0.0,1,1,13,2610/512000,764,2950,8.53634103294462,34.87126436781609,19.483333528289098,1,104,13,2610/512000,764,2950,8.53634103294462,13,2610/512000,764,2950,8.53634103294462
723.1337555400929,1087.1350740468279,129.55479231914475,9357.41222665185,14,2793/512000,765,3140,9.278347899205983,1.0,0.0,1,1,14,2793/512000,765,3140,9.278347899205983,35.04296455424275,19.37831518133793,1,104,14,2793/512000,765,3140,9.278347899205983,14,2793/512000,765,3140,9.278347899205983
714.6639037135686,1144.454651923894,129.55479231914475,9357.41222665185,15,2704/512000,759,3276,10.56489423289895,1.0,0.0,1,1,15,2704/512000,759,3276,10.56489423289895,35.42788461538461,19.890416665091426,1,104,15,2704/512000,759,3276,10.56489423289895,15,2704/512000,759,3276,10.56489423289895
759.4499773720646,1229.2573605519804,129.55479231914475,9357.41222665185,16,2931/512000,766,3295,10.625643565319479,1.0,0.0,1,1,16,2931/512000,766,3295,10.625643565319479,35.411122483793925,19.936179283506082,1,104,16,2931/512000,766,3295,10.625643565319479,16,2931/512000,766,3295,10.625643565319479
