fitness_avg,fitness_std,fitness_min,fitness_max,fitness_iteration,fitness_containerSize,fitness_evals,fitness_nbUpdated,fitness_elapsed,size_avg,size_std,size_min,size_max,size_iteration,size_containerSize,size_evals,size_nbUpdated,size_elapsed,complexity_avg,complexity_std,complexity_min,complexity_max,complexity_iteration,complexity_containerSize,complexity_evals,complexity_nbUpdated,complexity_elapsed,iteration,containerSize,evals,nbUpdated,elapsed
-586.6074952016929,495.400754462573,-6380.475203292607,-55.58324359199776,0,350/6400,500,423,5.914700085297227,2.0,0.0,2,2,0,350/6400,500,423,5.914700085297227,30.431428571428572,20.79092207710679,6,125,0,350/6400,500,423,5.914700085297227,0,350/6400,500,423,5.914700085297227
-521.6259108620972,644.519096715568,-11651.371842216242,-29.993162893539665,1,533/6400,479,387,5.915825912728906,2.0,0.0,2,2,1,533/6400,479,387,5.915825912728906,35.39774859287054,22.89472100923356,4,125,1,533/6400,479,387,5.915825912728906,1,533/6400,479,387,5.915825912728906
-435.61659064295736,586.6583043199079,-11651.371842216242,-29.993162893539665,2,683/6400,467,377,3.8690459402278066,2.0,0.0,2,2,2,683/6400,467,377,3.8690459402278066,38.45534407027819,23.64498863493764,4,125,2,683/6400,467,377,3.8690459402278066,2,683/6400,467,377,3.8690459402278066
-378.70599383570783,558.6124236015488,-11651.371842216242,-29.993162893539665,3,809/6400,473,367,3.2877773279324174,2.0,0.0,2,2,3,809/6400,473,367,3.2877773279324174,40.407911001236094,24.043260078779088,4,125,3,809/6400,473,367,3.2877773279324174,3,809/6400,473,367,3.2877773279324174
-342.3624410560113,533.7118118113742,-11651.371842216242,-20.26177930466869,4,893/6400,470,355,3.160946595482528,2.0,0.0,2,2,4,893/6400,470,355,3.160946595482528,41.20492721164614,23.97926265156481,4,125,4,893/6400,470,355,3.160946595482528,4,893/6400,470,355,3.160946595482528
-312.9401427483761,504.6805910425617,-11651.371842216242,-20.26177930466869,5,976/6400,477,319,5.012419139966369,2.0,0.0,2,2,5,976/6400,477,319,5.012419139966369,42.07889344262295,24.205848035204212,4,125,5,976/6400,477,319,5.012419139966369,5,976/6400,477,319,5.012419139966369
-291.6470247247394,484.9225962650495,-11651.371842216242,-20.26177930466869,6,1055/6400,485,281,3.187395503744483,2.0,0.0,2,2,6,1055/6400,485,281,3.187395503744483,43.34976303317536,24.70032594601904,2,125,6,1055/6400,485,281,3.187395503744483,6,1055/6400,485,281,3.187395503744483
-275.6727463275728,471.3503713521744,-11651.371842216242,-20.26177930466869,7,1116/6400,478,261,5.897073778323829,2.0,0.0,2,2,7,1116/6400,478,261,5.897073778323829,44.084229390681,24.876362419008533,2,125,7,1116/6400,478,261,5.897073778323829,7,1116/6400,478,261,5.897073778323829
-265.32578943568035,459.4956604213831,-11651.371842216242,-20.26177930466869,8,1171/6400,471,269,6.29503589309752,2.0,0.0,2,2,8,1171/6400,471,269,6.29503589309752,44.58753202391119,25.100205291867503,2,125,8,1171/6400,471,269,6.29503589309752,8,1171/6400,471,269,6.29503589309752
-256.8412049792266,451.2587618664378,-11651.371842216242,-9.297805440580978,9,1229/6400,479,294,6.5502942791208625,2.0,0.0,2,2,9,1229/6400,479,294,6.5502942791208625,44.97640358014646,25.161970279274414,2,125,9,1229/6400,479,294,6.5502942791208625,9,1229/6400,479,294,6.5502942791208625
-239.42554577053372,440.3702543647763,-11651.371842216242,-8.193364143794923,10,1272/6400,477,265,6.776132524013519,2.0,0.0,2,2,10,1272/6400,477,265,6.776132524013519,45.079402515723274,25.114094684942764,2,125,10,1272/6400,477,265,6.776132524013519,10,1272/6400,477,265,6.776132524013519
-221.82026478662138,429.4375405354841,-11651.371842216242,-8.193364143794923,11,1305/6400,476,265,5.283149132505059,2.0,0.0,2,2,11,1305/6400,476,265,5.283149132505059,45.43295019157088,25.093516787866935,2,125,11,1305/6400,476,265,5.283149132505059,11,1305/6400,476,265,5.283149132505059
-208.4516603014933,389.8597259844508,-11651.371842216242,59.28288596898847,12,1322/6400,473,254,8.41115008853376,2.0,0.0,2,2,12,1322/6400,473,254,8.41115008853376,45.79727685325265,25.038694263803205,2,125,12,1322/6400,473,254,8.41115008853376,12,1322/6400,473,254,8.41115008853376
-192.5490892684415,378.35538622288306,-11651.371842216242,59.28288596898847,13,1346/6400,480,229,9.457408444955945,2.0,0.0,2,2,13,1346/6400,480,229,9.457408444955945,45.852897473997025,24.9378555056622,2,125,13,1346/6400,480,229,9.457408444955945,13,1346/6400,480,229,9.457408444955945
-185.6810309587072,381.5254926278766,-11651.371842216242,70.81307289595054,14,1375/6400,462,277,8.763539663515985,2.0,0.0,2,2,14,1375/6400,462,277,8.763539663515985,46.178909090909094,24.87069086825822,2,125,14,1375/6400,462,277,8.763539663515985,14,1375/6400,462,277,8.763539663515985
-186.56900391936074,424.5815217840863,-11651.371842216242,70.81307289595054,15,1400/6400,472,264,9.064800390973687,2.0,0.0,2,2,15,1400/6400,472,264,9.064800390973687,46.43142857142857,24.733831907254615,2,125,15,1400/6400,472,264,9.064800390973687,15,1400/6400,472,264,9.064800390973687
-177.0292930360324,417.85000328361235,-11651.371842216242,70.81307289595054,16,1431/6400,474,263,7.893321733921766,2.0,0.0,2,2,16,1431/6400,474,263,7.893321733921766,46.9496855345912,24.78782609271855,2,125,16,1431/6400,474,263,7.893321733921766,16,1431/6400,474,263,7.893321733921766
-174.33462559704046,429.4261802090516,-11651.371842216242,70.81307289595054,17,1459/6400,479,237,9.453376789577305,2.0,0.0,2,2,17,1459/6400,479,237,9.453376789577305,47.38862234407128,24.860221316954767,2,125,17,1459/6400,479,237,9.453376789577305,17,1459/6400,479,237,9.453376789577305
-186.6780855630228,550.1225884876579,-11651.371842216242,70.81307289595054,18,1495/6400,478,232,9.277535274624825,2.0,0.0,2,2,18,1495/6400,478,232,9.277535274624825,47.93444816053512,24.842292882609947,2,125,18,1495/6400,478,232,9.277535274624825,18,1495/6400,478,232,9.277535274624825
-184.64341232051,530.9943603886378,-11651.371842216242,70.81307289595054,19,1522/6400,480,257,8.827004054561257,2.0,0.0,2,2,19,1522/6400,480,257,8.827004054561257,48.31537450722733,24.9353252823371,2,125,19,1522/6400,480,257,8.827004054561257,19,1522/6400,480,257,8.827004054561257
-172.38866136262024,489.4664758757147,-11651.371842216242,70.81307289595054,20,1555/6400,477,238,8.807733107358217,2.0,0.0,2,2,20,1555/6400,477,238,8.807733107358217,48.87459807073955,25.007890029852685,2,125,20,1555/6400,477,238,8.807733107358217,20,1555/6400,477,238,8.807733107358217
-185.14027540564757,654.5259859201727,-14251.40478523777,70.81307289595054,21,1591/6400,481,264,10.213846542872488,2.0,0.0,2,2,21,1591/6400,481,264,10.213846542872488,49.5021998742929,25.238519520127245,2,125,21,1591/6400,481,264,10.213846542872488,21,1591/6400,481,264,10.213846542872488
-186.9943452361487,682.070855694869,-14251.40478523777,70.81307289595054,22,1609/6400,469,249,11.489768485538661,2.0,0.0,2,2,22,1609/6400,469,249,11.489768485538661,49.92044748290864,25.500238452653885,2,131,22,1609/6400,469,249,11.489768485538661,22,1609/6400,469,249,11.489768485538661
