fitness_avg,fitness_std,fitness_min,fitness_max,fitness_iteration,fitness_containerSize,fitness_evals,fitness_nbUpdated,fitness_elapsed,size_avg,size_std,size_min,size_max,size_iteration,size_containerSize,size_evals,size_nbUpdated,size_elapsed,complexity_avg,complexity_std,complexity_min,complexity_max,complexity_iteration,complexity_containerSize,complexity_evals,complexity_nbUpdated,complexity_elapsed,iteration,containerSize,evals,nbUpdated,elapsed
-580.1599492255583,718.477622304223,-14909.704998078727,-54.97995280375662,0,537/819200,1000,735,9.820335174910724,2.0,0.0,2,2,0,537/819200,1000,735,9.820335174910724,36.98696461824954,23.466482645093066,6,125,0,537/819200,1000,735,9.820335174910724,0,537/819200,1000,735,9.820335174910724
-567.099929491493,361.2772205571699,-2800.3292463330235,-26.289951278831467,1,865/819200,473,1015,5.602770410012454,2.0,0.0,2,2,1,865/819200,473,1015,5.602770410012454,39.021965317919076,23.87502583381369,6,125,1,865/819200,473,1015,5.602770410012454,1,865/819200,473,1015,5.602770410012454
-502.04062422517023,341.4067266201875,-2800.3292463330235,-26.289951278831467,2,836/819200,468,997,4.898113486357033,2.0,0.0,2,2,2,836/819200,468,997,4.898113486357033,39.45574162679426,23.949342531760202,4,125,2,836/819200,468,997,4.898113486357033,2,836/819200,468,997,4.898113486357033
-472.57924022704424,343.2092857127208,-2800.3292463330235,-26.289951278831467,3,1030/819200,483,1252,5.794985219836235,2.0,0.0,2,2,3,1030/819200,483,1252,5.794985219836235,41.37087378640777,24.446262172118534,4,125,3,1030/819200,483,1252,5.794985219836235,3,1030/819200,483,1252,5.794985219836235
-431.7720181176612,333.50516015308216,-2800.3292463330235,-26.289951278831467,4,1219/819200,478,1443,4.883075621910393,2.0,0.0,2,2,4,1219/819200,478,1443,4.883075621910393,42.267432321575065,24.396990378126375,4,125,4,1219/819200,478,1443,4.883075621910393,4,1219/819200,478,1443,4.883075621910393
-395.6493974922376,327.7794829766402,-2800.3292463330235,-26.289951278831467,5,1385/819200,469,1613,5.742544010747224,2.0,0.0,2,2,5,1385/819200,469,1613,5.742544010747224,43.237545126353794,24.485623095562172,4,125,5,1385/819200,469,1613,5.742544010747224,5,1385/819200,469,1613,5.742544010747224
-375.5227749437438,339.0654294924737,-4291.051366049095,26.371053501728557,6,1508/819200,471,1764,5.915021777153015,2.0,0.0,2,2,6,1508/819200,471,1764,5.915021777153015,44.206896551724135,24.896169640778112,4,125,6,1508/819200,471,1764,5.915021777153015,6,1508/819200,471,1764,5.915021777153015
-357.40641555847543,331.7408849047247,-4291.051366049095,26.371053501728557,7,1634/819200,484,1874,5.358430305030197,2.0,0.0,2,2,7,1634/819200,484,1874,5.358430305030197,44.750917992656056,25.066345547044747,2,125,7,1634/819200,484,1874,5.358430305030197,7,1634/819200,484,1874,5.358430305030197
-350.7817918779875,421.0005664275109,-9440.735719724828,26.371053501728557,8,1748/819200,472,2000,6.961396474856883,2.0,0.0,2,2,8,1748/819200,472,2000,6.961396474856883,45.63615560640732,25.086356514271685,2,125,8,1748/819200,472,2000,6.961396474856883,8,1748/819200,472,2000,6.961396474856883
-345.2220001659254,534.7301044405854,-14218.055119817445,26.371053501728557,9,1825/819200,476,2065,9.876859254203737,2.0,0.0,2,2,9,1825/819200,476,2065,9.876859254203737,46.01808219178082,25.130436747429044,2,125,9,1825/819200,476,2065,9.876859254203737,9,1825/819200,476,2065,9.876859254203737
-344.212665717996,625.7629479563499,-14218.055119817445,26.371053501728557,10,1910/819200,481,2181,9.023093713913113,2.0,0.0,2,2,10,1910/819200,481,2181,9.023093713913113,46.209947643979056,25.342252148858364,2,125,10,1910/819200,481,2181,9.023093713913113,10,1910/819200,481,2181,9.023093713913113
-334.55790437009216,616.6007594747884,-14218.055119817445,26.371053501728557,11,1975/819200,465,2245,8.340296660084277,2.0,0.0,2,2,11,1975/819200,465,2245,8.340296660084277,46.8,25.572354534842823,2,125,11,1975/819200,465,2245,8.340296660084277,11,1975/819200,465,2245,8.340296660084277
-340.38744622569163,670.1219700958693,-14218.055119817445,53.15247384606164,12,2052/819200,479,2313,10.253802772145718,2.0,0.0,2,2,12,2052/819200,479,2313,10.253802772145718,46.83771929824562,25.609937312406252,2,125,12,2052/819200,479,2313,10.253802772145718,12,2052/819200,479,2313,10.253802772145718
-360.11119868840575,780.3737700177519,-14218.055119817445,53.15247384606164,13,2234/819200,477,2427,11.832765232305974,2.0,0.0,2,2,13,2234/819200,477,2427,11.832765232305974,47.684422560429724,25.63582254289507,2,125,13,2234/819200,477,2427,11.832765232305974,13,2234/819200,477,2427,11.832765232305974
-356.04674451767187,799.8507920775473,-14218.055119817445,53.15247384606164,14,2463/819200,481,2636,14.333198812790215,2.0,0.0,2,2,14,2463/819200,481,2636,14.333198812790215,48.365814047909055,26.06225877271005,2,125,14,2463/819200,481,2636,14.333198812790215,14,2463/819200,481,2636,14.333198812790215
-374.9974888470084,902.6397499084059,-14218.055119817445,53.15247384606164,15,2637/819200,479,2863,16.12502695294097,2.0,0.0,2,2,15,2637/819200,479,2863,16.12502695294097,48.8775123246113,26.266850860110008,2,125,15,2637/819200,479,2863,16.12502695294097,15,2637/819200,479,2863,16.12502695294097
-386.39592172287723,975.2666596094474,-14218.055119817445,53.15247384606164,16,2798/819200,475,3050,17.534555087797344,2.0,0.0,2,2,16,2798/819200,475,3050,17.534555087797344,49.33416726233023,26.26688880174027,2,125,16,2798/819200,475,3050,17.534555087797344,16,2798/819200,475,3050,17.534555087797344
-381.9677024583118,969.6372078817602,-14218.055119817445,53.15247384606164,17,2929/819200,476,3169,16.300693647935987,2.0,0.0,2,2,17,2929/819200,476,3169,16.300693647935987,49.77500853533629,26.348458917781578,2,125,17,2929/819200,476,3169,16.300693647935987,17,2929/819200,476,3169,16.300693647935987
