fitness_avg,fitness_std,fitness_min,fitness_max,fitness_iteration,fitness_containerSize,fitness_evals,fitness_nbUpdated,fitness_elapsed,size_avg,size_std,size_min,size_max,size_iteration,size_containerSize,size_evals,size_nbUpdated,size_elapsed,complexity_avg,complexity_std,complexity_min,complexity_max,complexity_iteration,complexity_containerSize,complexity_evals,complexity_nbUpdated,complexity_elapsed,iteration,containerSize,evals,nbUpdated,elapsed
-101491.57496904446,195467.29378005577,-500000.0,97.10316507867573,0,195/2500,500,280,4.789438049308956,1.0,0.0,1,1,0,195/2500,500,280,4.789438049308956,34.56923076923077,24.942992992186884,3,101,0,195/2500,500,280,4.789438049308956,0,195/2500,500,280,4.789438049308956
-83886.94340037205,180366.57387446178,-500000.0,97.10316507867573,1,282/2500,283,230,2.0242226938717067,1.0,0.0,1,1,1,282/2500,283,230,2.0242226938717067,41.202127659574465,26.647919743926327,1,111,1,282/2500,283,230,2.0242226938717067,1,282/2500,283,230,2.0242226938717067
-81903.59130350812,177871.92297579107,-500000.0,98.78624064613454,2,356/2500,283,213,2.455621692817658,1.0,0.0,1,1,2,356/2500,283,213,2.455621692817658,46.188202247191015,27.57820292447218,1,111,2,356/2500,283,213,2.455621692817658,2,356/2500,283,213,2.455621692817658
-56978.53629434366,152259.93382401703,-500000.0,98.78624064613454,3,424/2500,289,220,2.4755968200042844,1.0,0.0,1,1,3,424/2500,289,220,2.4755968200042844,47.889150943396224,27.675503016271108,1,122,3,424/2500,289,220,2.4755968200042844,3,424/2500,289,220,2.4755968200042844
-38662.91881328637,127207.27364170551,-500000.0,98.78624064613454,4,466/2500,280,201,2.6196104949340224,1.0,0.0,1,1,4,466/2500,280,201,2.6196104949340224,48.74463519313305,27.61338745061564,1,122,4,466/2500,280,201,2.6196104949340224,4,466/2500,280,201,2.6196104949340224
-27013.771328571544,107452.67728972774,-500000.0,98.78624064613454,5,482/2500,284,184,2.5466795680113137,1.0,0.0,1,1,5,482/2500,284,184,2.5466795680113137,49.59128630705394,27.25073691959113,1,122,5,482/2500,284,184,2.5466795680113137,5,482/2500,284,184,2.5466795680113137
-21615.521770266612,96625.90986178213,-500000.0,98.78624064613454,6,501/2500,280,172,2.774826868902892,1.0,0.0,1,1,6,501/2500,280,172,2.774826868902892,50.40119760479042,27.241375396552254,1,101,6,501/2500,280,172,2.774826868902892,6,501/2500,280,172,2.774826868902892
-17621.536241864273,88890.36018096576,-500000.0,98.78624064613454,7,522/2500,290,167,2.724988915026188,1.0,0.0,1,1,7,522/2500,290,167,2.724988915026188,50.67816091954023,27.264699751812422,1,102,7,522/2500,290,167,2.724988915026188,7,522/2500,290,167,2.724988915026188
-12834.408448127271,76388.20664690096,-500000.0,98.78624064613454,8,546/2500,283,168,2.7311727511696517,1.0,0.0,1,1,8,546/2500,283,168,2.7311727511696517,51.35897435897436,27.20286160561313,1,106,8,546/2500,283,168,2.7311727511696517,8,546/2500,283,168,2.7311727511696517
-8126.292205086991,60190.08098807714,-500000.0,98.78624064613454,9,549/2500,287,164,2.9068390862084925,1.0,0.0,1,1,9,549/2500,287,164,2.9068390862084925,52.510018214936245,27.500594293953277,1,111,9,549/2500,287,164,2.9068390862084925,9,549/2500,287,164,2.9068390862084925
