fitness_avg,fitness_std,fitness_min,fitness_max,fitness_iteration,fitness_containerSize,fitness_evals,fitness_nbUpdated,fitness_elapsed,size_avg,size_std,size_min,size_max,size_iteration,size_containerSize,size_evals,size_nbUpdated,size_elapsed,complexity_avg,complexity_std,complexity_min,complexity_max,complexity_iteration,complexity_containerSize,complexity_evals,complexity_nbUpdated,complexity_elapsed,iteration,containerSize,evals,nbUpdated,elapsed
-1277.417593360704,250.19695352129602,-1873.1791284059975,-299.843265802341,0,218/3750,500,326,3.594680529087782,1.0,0.0,1,1,0,218/3750,500,326,3.594680529087782,30.977064220183486,25.067147011000376,3,104,0,218/3750,500,326,3.594680529087782,0,218/3750,500,326,3.594680529087782
-1237.3256677792187,259.62761658199196,-1873.1791284059975,-294.93999673559335,1,294/3750,287,197,1.169424507766962,1.0,0.0,1,1,1,294/3750,287,197,1.169424507766962,36.50340136054422,27.295155222764865,1,104,1,294/3750,287,197,1.169424507766962,1,294/3750,287,197,1.169424507766962
-1219.9137989421286,272.7966781663422,-1873.1791284059975,-294.93999673559335,2,367/3750,282,192,1.3822030927985907,1.0,0.0,1,1,2,367/3750,282,192,1.3822030927985907,40.1008174386921,27.640316768235767,1,104,2,367/3750,282,192,1.3822030927985907,2,367/3750,282,192,1.3822030927985907
-1191.5666028726962,279.1314865984291,-1873.1791284059975,-294.93999673559335,3,414/3750,285,189,1.2696387162432075,1.0,0.0,1,1,3,414/3750,285,189,1.2696387162432075,41.98550724637681,28.04387147235845,1,104,3,414/3750,285,189,1.2696387162432075,3,414/3750,285,189,1.2696387162432075
-1153.675719298762,287.6921641062948,-1873.1791284059975,-294.93999673559335,4,446/3750,285,192,1.302911943756044,1.0,0.0,1,1,4,446/3750,285,192,1.302911943756044,44.07847533632287,28.41122801809222,1,116,4,446/3750,285,192,1.302911943756044,4,446/3750,285,192,1.302911943756044
-1145.4601856714569,293.27849415500896,-1873.1791284059975,-294.93999673559335,5,490/3750,287,163,1.4144083950668573,1.0,0.0,1,1,5,490/3750,287,163,1.4144083950668573,45.69183673469388,28.105358169767122,1,116,5,490/3750,287,163,1.4144083950668573,5,490/3750,287,163,1.4144083950668573
-1124.6636474660013,295.280598222276,-1873.1791284059975,-294.93999673559335,6,514/3750,287,161,1.4418331049382687,1.0,0.0,1,1,6,514/3750,287,161,1.4418331049382687,46.31517509727627,28.327192722496072,1,116,6,514/3750,287,161,1.4418331049382687,6,514/3750,287,161,1.4418331049382687
-1088.5662282985745,292.36865193813514,-1826.9696705429162,-294.93999673559335,7,534/3750,288,161,1.4812805643305182,1.0,0.0,1,1,7,534/3750,288,161,1.4812805643305182,46.93071161048689,28.178020106043768,1,116,7,534/3750,288,161,1.4812805643305182,7,534/3750,288,161,1.4812805643305182
-1062.8542265680046,293.2520962709403,-1853.7675006583413,-294.93999673559335,8,548/3750,287,154,1.4879658613353968,1.0,0.0,1,1,8,548/3750,287,154,1.4879658613353968,47.42335766423358,28.47920809705881,1,114,8,548/3750,287,154,1.4879658613353968,8,548/3750,287,154,1.4879658613353968
-1039.9958623683979,299.0796709923175,-1826.9696705429162,-294.93999673559335,9,580/3750,288,160,1.7145347772166133,1.0,0.0,1,1,9,580/3750,288,160,1.7145347772166133,48.32241379310345,28.746055460157145,1,114,9,580/3750,288,160,1.7145347772166133,9,580/3750,288,160,1.7145347772166133
-1006.7874291016311,303.3342809292947,-1826.9696705429162,-294.93999673559335,10,589/3750,277,170,1.6260868916288018,1.0,0.0,1,1,10,589/3750,277,170,1.6260868916288018,48.882852292020374,28.8970691556485,1,114,10,589/3750,277,170,1.6260868916288018,10,589/3750,277,170,1.6260868916288018
-976.4600076623934,312.6072026343147,-1826.9696705429162,-294.93999673559335,11,605/3750,289,167,1.6532897157594562,1.0,0.0,1,1,11,605/3750,289,167,1.6532897157594562,48.8,28.835033787976027,1,110,11,605/3750,289,167,1.6532897157594562,11,605/3750,289,167,1.6532897157594562
-941.4868501007439,320.90019667188324,-1826.9696705429162,-267.55757607551004,12,609/3750,290,152,1.696479664184153,1.0,0.0,1,1,12,609/3750,290,152,1.696479664184153,49.12315270935961,29.053197443414717,1,110,12,609/3750,290,152,1.696479664184153,12,609/3750,290,152,1.696479664184153
-905.4799375197852,331.28931611824055,-1826.9696705429162,-267.55757607551004,13,611/3750,289,168,1.8334302138537169,1.0,0.0,1,1,13,611/3750,289,168,1.8334302138537169,49.47626841243863,29.04312516413268,1,106,13,611/3750,289,168,1.8334302138537169,13,611/3750,289,168,1.8334302138537169
-881.2894969030465,338.97785001461654,-1826.9696705429162,-267.55757607551004,14,619/3750,285,153,1.7447848236188293,1.0,0.0,1,1,14,619/3750,285,153,1.7447848236188293,49.70274636510501,29.089058986429247,1,122,14,619/3750,285,153,1.7447848236188293,14,619/3750,285,153,1.7447848236188293
-852.6678061975872,338.07596133082075,-1826.9696705429162,-267.55757607551004,15,632/3750,281,167,1.7472496647387743,1.0,0.0,1,1,15,632/3750,281,167,1.7472496647387743,50.28639240506329,29.217190919270575,1,109,15,632/3750,281,167,1.7472496647387743,15,632/3750,281,167,1.7472496647387743
-833.9493310478347,348.9103014652362,-1870.270124059226,-255.08944502406666,16,628/3750,283,160,1.703143311664462,1.0,0.0,1,1,16,628/3750,283,160,1.703143311664462,50.14808917197452,29.427153599357872,1,117,16,628/3750,283,160,1.703143311664462,16,628/3750,283,160,1.703143311664462
-806.8133407639655,350.4106883272117,-1826.9696705429162,-207.46715667239698,17,637/3750,286,183,1.6676669400185347,1.0,0.0,1,1,17,637/3750,286,183,1.6676669400185347,50.679748822605966,29.49125588843675,1,117,17,637/3750,286,183,1.6676669400185347,17,637/3750,286,183,1.6676669400185347
-785.1554672030062,354.2192578631087,-1826.9696705429162,-187.20571857478168,18,645/3750,290,134,1.7127791456878185,1.0,0.0,1,1,18,645/3750,290,134,1.7127791456878185,50.9984496124031,29.575733779638508,1,114,18,645/3750,290,134,1.7127791456878185,18,645/3750,290,134,1.7127791456878185
-768.9005225881342,363.234553242401,-1826.9696705429162,-173.12238451809773,19,648/3750,287,124,1.846614858135581,1.0,0.0,1,1,19,648/3750,287,124,1.846614858135581,51.0462962962963,29.640766136299117,1,127,19,648/3750,287,124,1.846614858135581,19,648/3750,287,124,1.846614858135581
-757.6925454505222,373.1044203103741,-1855.3851262929138,-173.12238451809773,20,648/3750,289,136,1.7461712369695306,1.0,0.0,1,1,20,648/3750,289,136,1.7461712369695306,50.964506172839506,29.731052261621944,1,127,20,648/3750,289,136,1.7461712369695306,20,648/3750,289,136,1.7461712369695306
-733.0605191807342,370.1626835992848,-1826.9696705429162,-173.12238451809773,21,653/3750,280,131,1.752513749524951,1.0,0.0,1,1,21,653/3750,280,131,1.752513749524951,51.14854517611026,29.52732767815339,1,127,21,653/3750,280,131,1.752513749524951,21,653/3750,280,131,1.752513749524951
-719.2218809777494,377.70470822606484,-1920.9363089789897,-173.12238451809773,22,649/3750,289,156,1.7827278766781092,1.0,0.0,1,1,22,649/3750,289,156,1.7827278766781092,51.112480739599384,29.677745027751314,1,127,22,649/3750,289,156,1.7827278766781092,22,649/3750,289,156,1.7827278766781092
-698.6595245678409,380.60729961533013,-1920.9363089789897,-173.12238451809773,23,660/3750,291,139,1.701216697692871,1.0,0.0,1,1,23,660/3750,291,139,1.701216697692871,51.2939393939394,29.701264531736786,1,127,23,660/3750,291,139,1.701216697692871,23,660/3750,291,139,1.701216697692871
-675.5985748969914,383.2016057647385,-1826.9696705429162,-173.12238451809773,24,660/3750,286,150,1.6513924337923527,1.0,0.0,1,1,24,660/3750,286,150,1.6513924337923527,51.343939393939394,29.705395024676655,1,127,24,660/3750,286,150,1.6513924337923527,24,660/3750,286,150,1.6513924337923527
