fitness_avg,fitness_std,fitness_min,fitness_max,fitness_iteration,fitness_containerSize,fitness_evals,fitness_nbUpdated,fitness_elapsed,size_avg,size_std,size_min,size_max,size_iteration,size_containerSize,size_evals,size_nbUpdated,size_elapsed,complexity_avg,complexity_std,complexity_min,complexity_max,complexity_iteration,complexity_containerSize,complexity_evals,complexity_nbUpdated,complexity_elapsed,iteration,containerSize,evals,nbUpdated,elapsed
-1362.978476959205,251.3048486014642,-1917.498187132346,-492.99153242551193,0,364/640000,500,442,2.5868872981518507,1.0,0.0,1,1,0,364/640000,500,442,2.5868872981518507,24.75,22.548619630761152,3,109,0,364/640000,500,442,2.5868872981518507,0,364/640000,500,442,2.5868872981518507
-1366.878558357307,230.81258780062507,-1922.1368321997243,-492.99153242551193,1,604/640000,286,664,2.4994695619679987,1.0,0.0,1,1,1,604/640000,286,664,2.4994695619679987,25.486754966887418,23.437704313978685,1,109,1,604/640000,286,664,2.4994695619679987,1,604/640000,286,664,2.4994695619679987
-1342.9720602046964,238.4338637996389,-1922.1368321997243,-491.47282255747155,2,689/640000,286,764,2.6585945673286915,1.0,0.0,1,1,2,689/640000,286,764,2.6585945673286915,26.782293178519595,23.985704014340257,1,109,2,689/640000,286,764,2.6585945673286915,2,689/640000,286,764,2.6585945673286915
-1293.2920341082095,238.17194340377023,-1921.8471495542715,-337.96759320090956,3,739/640000,286,811,2.665010184980929,1.0,0.0,1,1,3,739/640000,286,811,2.665010184980929,26.956698240866036,23.781100692079065,1,109,3,739/640000,286,811,2.665010184980929,3,739/640000,286,811,2.665010184980929
-1288.2348591752293,242.35089630050643,-1921.8471495542715,-233.43881069086765,4,959/640000,283,1039,2.869727151002735,1.0,0.0,1,1,4,959/640000,283,1039,2.869727151002735,27.08550573514077,23.122266228619367,1,110,4,959/640000,283,1039,2.869727151002735,4,959/640000,283,1039,2.869727151002735
-1278.1815338610922,245.6315544990514,-1921.8471495542715,-233.43881069086765,5,1170/640000,279,1251,3.8297721087001264,1.0,0.0,1,1,5,1170/640000,279,1251,3.8297721087001264,28.066666666666666,23.296909299432468,1,110,5,1170/640000,279,1251,3.8297721087001264,5,1170/640000,279,1251,3.8297721087001264
-1267.7163734067024,251.33957801236582,-1921.8471495542715,-212.7861577916877,6,1364/640000,279,1466,3.5977123021148145,1.0,0.0,1,1,6,1364/640000,279,1466,3.5977123021148145,28.708211143695014,23.505503630119584,1,110,6,1364/640000,279,1466,3.5977123021148145,6,1364/640000,279,1466,3.5977123021148145
-1255.9259890507806,256.3008691514468,-1921.8471495542715,-212.7861577916877,7,1359/640000,280,1462,3.814925034996122,1.0,0.0,1,1,7,1359/640000,280,1462,3.814925034996122,28.812362030905078,23.355794177178208,1,110,7,1359/640000,280,1462,3.814925034996122,7,1359/640000,280,1462,3.814925034996122
-1244.222508109038,263.8294057879415,-1921.8471495542715,-212.7861577916877,8,1546/640000,281,1649,4.036174488719553,1.0,0.0,1,1,8,1546/640000,281,1649,4.036174488719553,29.377749029754206,23.364558284025996,1,110,8,1546/640000,281,1649,4.036174488719553,8,1546/640000,281,1649,4.036174488719553
-1232.7166469743504,275.92026810444213,-1921.8471495542715,-212.7861577916877,9,1717/640000,290,1824,4.394612966105342,1.0,0.0,1,1,9,1717/640000,290,1824,4.394612966105342,30.39021549213745,23.760263461408492,1,113,9,1717/640000,290,1824,4.394612966105342,9,1717/640000,290,1824,4.394612966105342
-1220.3030150613945,287.37765389257913,-1921.8471495542715,-212.7861577916877,10,1890/640000,282,1994,4.955176969058812,1.0,0.0,1,1,10,1890/640000,282,1994,4.955176969058812,31.42010582010582,24.076953743696556,1,115,10,1890/640000,282,1994,4.955176969058812,10,1890/640000,282,1994,4.955176969058812
-1208.0336420789808,299.10717214108024,-1921.8471495542715,-182.6023881764501,11,2089/640000,288,2172,5.2152914623729885,1.0,0.0,1,1,11,2089/640000,288,2172,5.2152914623729885,32.03255146002872,24.026491148877792,1,115,11,2089/640000,288,2172,5.2152914623729885,11,2089/640000,288,2172,5.2152914623729885
-1184.087534736593,317.8611252504197,-1921.8471495542715,-182.6023881764501,12,2281/640000,287,2376,5.975195713806897,1.0,0.0,1,1,12,2281/640000,287,2376,5.975195713806897,32.957474791758,24.189309589195165,1,115,12,2281/640000,287,2376,5.975195713806897,12,2281/640000,287,2376,5.975195713806897
-1162.1731481474449,335.57245779764236,-1921.8471495542715,-168.95238741366222,13,2474/640000,283,2566,6.435089524369687,1.0,0.0,1,1,13,2474/640000,283,2566,6.435089524369687,33.90177849636217,24.35170031176086,1,115,13,2474/640000,283,2566,6.435089524369687,13,2474/640000,283,2566,6.435089524369687
-1144.4667263182873,351.9056278563278,-1921.8471495542715,-126.4470338894746,14,2667/640000,280,2760,7.2906375881284475,1.0,0.0,1,1,14,2667/640000,280,2760,7.2906375881284475,34.62092238470191,24.54480803039502,1,115,14,2667/640000,280,2760,7.2906375881284475,14,2667/640000,280,2760,7.2906375881284475
-1127.0186044653678,365.99252751434,-1926.515242402654,-120.62365548512004,15,2853/640000,284,2944,8.014317811001092,1.0,0.0,1,1,15,2853/640000,284,2944,8.014317811001092,34.90956887486856,24.56821421953189,1,115,15,2853/640000,284,2944,8.014317811001092,15,2853/640000,284,2944,8.014317811001092
-1112.5432784179288,381.19681565934343,-1930.9670317502548,-4.7664232546104595,16,3029/640000,282,3124,8.788284713868052,1.0,0.0,1,1,16,3029/640000,282,3124,8.788284713868052,34.94717728623308,24.30297067738271,1,115,16,3029/640000,282,3124,8.788284713868052,16,3029/640000,282,3124,8.788284713868052
-1097.7295477649013,393.79407522266484,-1930.9670317502548,-4.7664232546104595,17,3209/640000,287,3308,9.651534073986113,1.0,0.0,1,1,17,3209/640000,287,3308,9.651534073986113,34.93113119351823,24.09538655993426,1,115,17,3209/640000,287,3308,9.651534073986113,17,3209/640000,287,3308,9.651534073986113
-1076.4455870420368,408.68512604632247,-1930.9670317502548,-4.7664232546104595,18,2934/640000,288,3022,10.22809327300638,1.0,0.0,1,1,18,2934/640000,288,3022,10.22809327300638,35.21881390593047,23.706564496551852,1,115,18,2934/640000,288,3022,10.22809327300638,18,2934/640000,288,3022,10.22809327300638
-1063.1325434538137,418.10598793367774,-1930.9670317502548,-4.7664232546104595,19,3095/640000,288,3201,9.267086958047003,1.0,0.0,1,1,19,3095/640000,288,3201,9.267086958047003,35.35573505654281,23.600890811086266,1,115,19,3095/640000,288,3201,9.267086958047003,19,3095/640000,288,3201,9.267086958047003
-1051.5381739576558,427.8299858548707,-1930.9670317502548,-4.7664232546104595,20,3261/640000,283,3369,10.250182992313057,1.0,0.0,1,1,20,3261/640000,283,3369,10.250182992313057,35.60226924256363,23.551643185160778,1,115,20,3261/640000,283,3369,10.250182992313057,20,3261/640000,283,3369,10.250182992313057
-1042.1528956273896,435.46550359250836,-1930.9670317502548,-4.7664232546104595,21,3421/640000,289,3524,10.87727160891518,1.0,0.0,1,1,21,3421/640000,289,3524,10.87727160891518,35.746565331774335,23.419757160843027,1,115,21,3421/640000,289,3524,10.87727160891518,21,3421/640000,289,3524,10.87727160891518
-1035.2874577435016,441.4283970352926,-1937.070912901161,-4.068553309985444,22,3596/640000,285,3695,11.604319835081697,1.0,0.0,1,1,22,3596/640000,285,3695,11.604319835081697,35.980533926585096,23.40484152075109,1,115,22,3596/640000,285,3695,11.604319835081697,22,3596/640000,285,3695,11.604319835081697
-1024.0852378541292,448.19731180260857,-1937.070912901161,-4.068553309985444,23,3773/640000,288,3868,12.96353086270392,1.0,0.0,1,1,23,3773/640000,288,3868,12.96353086270392,36.3739729658097,23.467428545323866,1,115,23,3773/640000,288,3868,12.96353086270392,23,3773/640000,288,3868,12.96353086270392
-1016.1617929223593,452.3304439270945,-1937.070912901161,-4.068553309985444,24,3943/640000,289,4035,13.994238780811429,1.0,0.0,1,1,24,3943/640000,289,4035,13.994238780811429,36.71366979457266,23.51651678725493,1,130,24,3943/640000,289,4035,13.994238780811429,24,3943/640000,289,4035,13.994238780811429
-1011.1242674830117,456.66277486041537,-1937.070912901161,-4.068553309985444,25,4109/640000,279,4211,15.144155696034431,1.0,0.0,1,1,25,4109/640000,279,4211,15.144155696034431,36.89048430275006,23.511023899713674,1,130,25,4109/640000,279,4211,15.144155696034431,25,4109/640000,279,4211,15.144155696034431
-1004.2067604395107,460.5815135728776,-1937.070912901161,-4.068553309985444,26,4243/640000,290,4377,16.384150865022093,1.0,0.0,1,1,26,4243/640000,290,4377,16.384150865022093,37.16639170398303,23.566627595771962,1,130,26,4243/640000,290,4377,16.384150865022093,26,4243/640000,290,4377,16.384150865022093
-999.5735188874464,464.5406305642489,-1937.070912901161,-2.2973416871118593,27,4417/640000,292,4505,17.204290721099824,1.0,0.0,1,1,27,4417/640000,292,4505,17.204290721099824,37.38487661308581,23.620680406109777,1,130,27,4417/640000,292,4505,17.204290721099824,27,4417/640000,292,4505,17.204290721099824
-994.6263183385499,471.21211960439973,-1937.070912901161,-2.2973416871118593,28,3987/640000,284,4100,18.21495223417878,1.0,0.0,1,1,28,3987/640000,284,4100,18.21495223417878,38.014547278655634,23.734576295527717,1,130,28,3987/640000,284,4100,18.21495223417878,28,3987/640000,284,4100,18.21495223417878
-984.389216399969,473.79644388936833,-1937.070912901161,-2.2973416871118593,29,4168/640000,289,4258,15.421814408153296,1.0,0.0,1,1,29,4168/640000,289,4258,15.421814408153296,38.438819577735124,23.77147679811301,1,130,29,4168/640000,289,4258,15.421814408153296,29,4168/640000,289,4258,15.421814408153296
-979.9642036439967,474.8638489098877,-1937.070912901161,-2.2973416871118593,30,4359/640000,297,4436,16.86735143419355,1.0,0.0,1,1,30,4359/640000,297,4436,16.86735143419355,38.7946776783666,23.77144767086062,1,130,30,4359/640000,297,4436,16.86735143419355,30,4359/640000,297,4436,16.86735143419355
-972.2535578916593,477.1363062686902,-1937.070912901161,-2.2973416871118593,31,4535/640000,293,4627,18.003985048737377,1.0,0.0,1,1,31,4535/640000,293,4627,18.003985048737377,39.219404630650494,23.910549458131385,1,130,31,4535/640000,293,4627,18.003985048737377,31,4535/640000,293,4627,18.003985048737377
-969.9096818822077,479.9268962321061,-1937.070912901161,-2.2973416871118593,32,4673/640000,282,4792,19.39369623409584,1.0,0.0,1,1,32,4673/640000,282,4792,19.39369623409584,39.512304729295955,23.998606950432013,1,130,32,4673/640000,282,4792,19.39369623409584,32,4673/640000,282,4792,19.39369623409584
-967.0944903992629,479.56433170676013,-1937.070912901161,-2.2973416871118593,33,4829/640000,285,4934,20.45221072807908,1.0,0.0,1,1,33,4829/640000,285,4934,20.45221072807908,39.85752743839304,24.045867930315627,1,132,33,4829/640000,285,4934,20.45221072807908,33,4829/640000,285,4934,20.45221072807908
-967.2814763905748,480.2227776308189,-1937.070912901161,-2.2973416871118593,34,4977/640000,291,5089,21.54463637061417,1.0,0.0,1,1,34,4977/640000,291,5089,21.54463637061417,40.21197508539281,24.194341437242276,1,132,34,4977/640000,291,5089,21.54463637061417,34,4977/640000,291,5089,21.54463637061417
-964.0842465097268,481.28157130290214,-1937.070912901161,-2.2973416871118593,35,5131/640000,281,5246,23.134438285138458,1.0,0.0,1,1,35,5131/640000,281,5246,23.134438285138458,40.560319625803935,24.318455332273288,1,132,35,5131/640000,281,5246,23.134438285138458,35,5131/640000,281,5246,23.134438285138458
-962.2051597766903,482.4367194568035,-1937.070912901161,-2.2973416871118593,36,5273/640000,289,5387,24.256584358401597,1.0,0.0,1,1,36,5273/640000,289,5387,24.256584358401597,40.89436753271382,24.413779917512723,1,132,36,5273/640000,289,5387,24.256584358401597,36,5273/640000,289,5387,24.256584358401597
-962.0580009437458,483.083983856157,-1937.070912901161,-2.2973416871118593,37,5427/640000,293,5538,25.698424625676125,1.0,0.0,1,1,37,5427/640000,293,5538,25.698424625676125,41.22406486088078,24.536985756347857,1,130,37,5427/640000,293,5538,25.698424625676125,37,5427/640000,293,5538,25.698424625676125
-959.3544088698168,483.304546265131,-1937.070912901161,-2.2973416871118593,38,5555/640000,283,5686,26.724686607252806,1.0,0.0,1,1,38,5555/640000,283,5686,26.724686607252806,41.48892889288929,24.53011180327869,1,130,38,5555/640000,283,5686,26.724686607252806,38,5555/640000,283,5686,26.724686607252806
-957.2154168603587,483.0083547877769,-1937.070912901161,-2.2973416871118593,39,5697/640000,282,5811,27.927587025798857,1.0,0.0,1,1,39,5697/640000,282,5811,27.927587025798857,41.85694225030718,24.598429760804024,1,130,39,5697/640000,282,5811,27.927587025798857,39,5697/640000,282,5811,27.927587025798857
-954.421673436996,483.8053084905815,-1937.070912901161,-1.6949534890073361,40,5835/640000,286,5953,28.891320428345352,1.0,0.0,1,1,40,5835/640000,286,5953,28.891320428345352,42.16298200514139,24.690072052258003,1,130,40,5835/640000,286,5953,28.891320428345352,40,5835/640000,286,5953,28.891320428345352
-942.6957274286608,491.0431153421571,-1937.070912901161,-1.6949534890073361,41,5329/640000,289,5472,30.472264678683132,1.0,0.0,1,1,41,5329/640000,289,5472,30.472264678683132,42.9555263651717,24.891683005728524,1,130,41,5329/640000,289,5472,30.472264678683132,41,5329/640000,289,5472,30.472264678683132
-943.1211759022787,492.04140473843876,-1937.070912901161,-1.6949534890073361,42,5446/640000,281,5599,26.114158095791936,1.0,0.0,1,1,42,5446/640000,281,5599,26.114158095791936,43.170951156812336,24.914439870861532,1,130,42,5446/640000,281,5599,26.114158095791936,42,5446/640000,281,5599,26.114158095791936
-941.5689515385669,491.1977360157739,-1937.070912901161,-1.6949534890073361,43,5588/640000,279,5708,27.368383823893964,1.0,0.0,1,1,43,5588/640000,279,5708,27.368383823893964,43.316392269148174,25.021224413778487,1,130,43,5588/640000,279,5708,27.368383823893964,43,5588/640000,279,5708,27.368383823893964
-940.1602799454229,491.7528176281575,-1937.070912901161,-1.6949534890073361,44,5726/640000,287,5847,28.378531265072525,1.0,0.0,1,1,44,5726/640000,287,5847,28.378531265072525,43.484980789381765,24.987898602202318,1,130,44,5726/640000,287,5847,28.378531265072525,44,5726/640000,287,5847,28.378531265072525
-939.2368986753422,491.6861416392924,-1937.070912901161,-1.6949534890073361,45,5851/640000,283,5983,30.368878494016826,1.0,0.0,1,1,45,5851/640000,283,5983,30.368878494016826,43.79986327123569,25.067294968304097,1,130,45,5851/640000,283,5983,30.368878494016826,45,5851/640000,283,5983,30.368878494016826
-938.2511494688952,492.0517775153886,-1937.070912901161,-0.6890224009428763,46,5982/640000,288,6093,30.83983423328027,1.0,0.0,1,1,46,5982/640000,288,6093,30.83983423328027,43.99147442326981,25.101967129967715,1,130,46,5982/640000,288,6093,30.83983423328027,46,5982/640000,288,6093,30.83983423328027
-937.7849745222891,491.6896802451951,-1945.5960229401953,-0.6890224009428763,47,6120/640000,287,6233,32.52923089032993,1.0,0.0,1,1,47,6120/640000,287,6233,32.52923089032993,44.19918300653595,25.09840826370743,1,123,47,6120/640000,287,6233,32.52923089032993,47,6120/640000,287,6233,32.52923089032993
-934.7565685200137,492.47355058990564,-1945.5960229401953,-0.6890224009428763,48,6266/640000,283,6380,34.35271044494584,1.0,0.0,1,1,48,6266/640000,283,6380,34.35271044494584,44.34679221193744,25.14412785800018,1,128,48,6266/640000,283,6380,34.35271044494584,48,6266/640000,283,6380,34.35271044494584
-934.6124670183934,492.9125237419218,-1945.5960229401953,-0.6890224009428763,49,6410/640000,287,6516,35.250084874685854,1.0,0.0,1,1,49,6410/640000,287,6516,35.250084874685854,44.49141965678627,25.120036405821875,1,128,49,6410/640000,287,6516,35.250084874685854,49,6410/640000,287,6516,35.250084874685854
